Ini,FCI e ITx,Fin TX
1531100261846,1531100262042,1531100262042
1531100262074,1531100262149,1531100262149
1531100262180,1531100262278,1531100262278
1531100262309,1531100262390,1531100262390
1531100262421,1531100262498,1531100262499
1531100262530,1531100262565,1531100262566
1531100262597,1531100262648,1531100262648
1531100262679,1531100262757,1531100262757
1531100262788,1531100262895,1531100262895
1531100262927,1531100262989,1531100262990
1531100263021,1531100263129,1531100263129
1531100263160,1531100263221,1531100263221
1531100263252,1531100263300,1531100263300
1531100263331,1531100263414,1531100263414
1531100263445,1531100263513,1531100263514
1531100263545,1531100263602,1531100263602
1531100263632,1531100263698,1531100263698
1531100263730,1531100263788,1531100263788
1531100263819,1531100263883,1531100263883
1531100263915,1531100263974,1531100263974
1531100264005,1531100264075,1531100264075
1531100264106,1531100264185,1531100264186
1531100264217,1531100264283,1531100264284
1531100264315,1531100264371,1531100264371
1531100264402,1531100264478,1531100264478
1531100264509,1531100264567,1531100264567
1531100264599,1531100264646,1531100264646
1531100264677,1531100264723,1531100264724
1531100264755,1531100264808,1531100264808
1531100264839,1531100264902,1531100264903
1531100264934,1531100265002,1531100265002
1531100265033,1531100265108,1531100265108
1531100265139,1531100265204,1531100265204
1531100265235,1531100265296,1531100265297
1531100265328,1531100265393,1531100265394
1531100265425,1531100265496,1531100265497
1531100265527,1531100265571,1531100265571
1531100265602,1531100265670,1531100265670
1531100265701,1531100265766,1531100265766
1531100265797,1531100265844,1531100265844
1531100265875,1531100265926,1531100265926
1531100265958,1531100266049,1531100266050
1531100266081,1531100266144,1531100266144
1531100266175,1531100266278,1531100266278
1531100266310,1531100266395,1531100266396
1531100266426,1531100266526,1531100266526
1531100266557,1531100266624,1531100266625
1531100266656,1531100266797,1531100266798
1531100266829,1531100266889,1531100266889
1531100266920,1531100266991,1531100266992
1531100267023,1531100267078,1531100267078
1531100267109,1531100267152,1531100267152
1531100267183,1531100267256,1531100267256
1531100267287,1531100267361,1531100267361
1531100267393,1531100267444,1531100267445
1531100267476,1531100267558,1531100267558
1531100267589,1531100267651,1531100267651
1531100267682,1531100267750,1531100267750
1531100267781,1531100267845,1531100267846
1531100267877,1531100267942,1531100267942
1531100267973,1531100268028,1531100268028
1531100268059,1531100268119,1531100268120
1531100268151,1531100268215,1531100268215
1531100268246,1531100268288,1531100268289
1531100268320,1531100268373,1531100268373
1531100268405,1531100268487,1531100268487
1531100268519,1531100268586,1531100268587
1531100268618,1531100268681,1531100268682
1531100268713,1531100268771,1531100268771
1531100268802,1531100268879,1531100268879
1531100268911,1531100268995,1531100268995
1531100269025,1531100269077,1531100269077
1531100269108,1531100269174,1531100269174
1531100269205,1531100269250,1531100269250
1531100269281,1531100269312,1531100269313
1531100269344,1531100269416,1531100269417
1531100269448,1531100269493,1531100269494
1531100269525,1531100269579,1531100269580
1531100269611,1531100269668,1531100269668
1531100269699,1531100269762,1531100269762
1531100269793,1531100269880,1531100269880
1531100269911,1531100269974,1531100269975
1531100270006,1531100270070,1531100270070
1531100270101,1531100270168,1531100270169
1531100270200,1531100270258,1531100270258
1531100270290,1531100270337,1531100270337
1531100270368,1531100270437,1531100270437
1531100270468,1531100270535,1531100270535
1531100270567,1531100270611,1531100270611
1531100270643,1531100270690,1531100270690
1531100270720,1531100270820,1531100270821
1531100270852,1531100270918,1531100270918
1531100270949,1531100271023,1531100271023
1531100271054,1531100271107,1531100271108
1531100271139,1531100271185,1531100271185
1531100271217,1531100271274,1531100271275
1531100271306,1531100271385,1531100271385
1531100271416,1531100271482,1531100271483
1531100271514,1531100271568,1531100271568
1531100271600,1531100271660,1531100271660
1531100271691,1531100271752,1531100271753
1531100271784,1531100271846,1531100271846
1531100271877,1531100271941,1531100271941
1531100271972,1531100272200,1531100272200
1531100272232,1531100272294,1531100272294
1531100272325,1531100272497,1531100272497
1531100272528,1531100272566,1531100272566
1531100272597,1531100272650,1531100272650
1531100272681,1531100272725,1531100272725
1531100272756,1531100272787,1531100272787
1531100272819,1531100272857,1531100272857
1531100272887,1531100272937,1531100272937
1531100272968,1531100273054,1531100273054
1531100273085,1531100273147,1531100273147
1531100273178,1531100273239,1531100273239
1531100273270,1531100273339,1531100273339
1531100273370,1531100273431,1531100273432
1531100273463,1531100273514,1531100273514
1531100273545,1531100273606,1531100273606
1531100273637,1531100273711,1531100273711
1531100273742,1531100273808,1531100273808
1531100273839,1531100273891,1531100273891
1531100273922,1531100273969,1531100273969
1531100274000,1531100274053,1531100274053
1531100274084,1531100274136,1531100274136
1531100274167,1531100274231,1531100274231
1531100274261,1531100274306,1531100274306
1531100274338,1531100274371,1531100274371
1531100274402,1531100274448,1531100274449
1531100274480,1531100274517,1531100274517
1531100274548,1531100274584,1531100274584
1531100274615,1531100274643,1531100274643
1531100274674,1531100274708,1531100274708
1531100274740,1531100274773,1531100274773
1531100274804,1531100274851,1531100274851
1531100274882,1531100274952,1531100274952
1531100274983,1531100275094,1531100275094
1531100275125,1531100275195,1531100275195
1531100275226,1531100275320,1531100275321
1531100275352,1531100275432,1531100275432
1531100275464,1531100275581,1531100275581
1531100275613,1531100275677,1531100275677
1531100275708,1531100275804,1531100275804
1531100275835,1531100275921,1531100275921
1531100275952,1531100276041,1531100276041
1531100276071,1531100276153,1531100276154
1531100276185,1531100276302,1531100276302
1531100276333,1531100276391,1531100276391
1531100276422,1531100276515,1531100276516
1531100276547,1531100276623,1531100276623
1531100276654,1531100276745,1531100276745
1531100276776,1531100276875,1531100276875
1531100276907,1531100276998,1531100276999
1531100277030,1531100277116,1531100277116
1531100277147,1531100277254,1531100277254
1531100277286,1531100277347,1531100277347
1531100277379,1531100277444,1531100277444
