tiempo1,tiempo2,tiempo4,tiempo4
1530164426531,1530164426539,1530164426740,1530164426746
1530164426751,1530164426770,1530164426980,1530164426987
1530164426987,1530164427000,1530164427200,1530164427206
1530164427207,1530164427330,1530164427531,1530164427538
1530164427538,1530164427660,1530164427881,1530164427886
1530164427887,1530164428009,1530164428230,1530164428237
1530164428237,1530164428330,1530164428620,1530164428626
1530164428626,1530164428720,1530164428990,1530164428997
1530164428998,1530164429090,1530164429360,1530164429367
1530164429367,1530164429460,1530164429730,1530164429737
1530164429738,1530164429830,1530164430109,1530164430116
1530164430117,1530164430210,1530164430490,1530164430496
1530164430497,1530164430590,1530164430860,1530164430866
1530164430867,1530164430960,1530164431260,1530164431267
1530164431267,1530164431300,1530164431510,1530164431517
1530164431517,1530164431550,1530164431760,1530164431766
1530164431767,1530164431800,1530164432030,1530164432037
1530164432037,1530164432070,1530164432265,1530164432271
1530164432272,1530164432310,1530164432520,1530164432527
1530164432527,1530164432562,1530164432780,1530164432787
1530164432787,1530164432820,1530164433030,1530164433037
1530164433037,1530164433070,1530164433267,1530164433274
1530164433276,1530164433310,1530164433540,1530164433547
1530164433548,1530164433580,1530164433791,1530164433797
1530164433798,1530164433830,1530164434050,1530164434057
